Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,,DS_PM_pred,DS_PM_stdd,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
2018,CA,California,Alameda,06001,06001405301,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.1,,,8.6,9.6,2603,POINT (-122.2513009 37.80206119),6001405301,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.169,10.7919,3019,1336,1683,12.5,46.9,25.1,0.2,8.8,0.2,2514,62500,5594,42742,4209,11.9,0,55.3,17.2,23.2,2.7,1.6,42.7,6.2,30,8.9,4.7,7.5,34.1,2053,76.3,15,8.7,0,4.4
2018,CA,California,Alameda,06001,06001405302,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.1,,,8.7,9.7,2530,POINT (-122.2542275 37.79848668),6001405302,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.859,11.6894,2446,1317,1129,15,28.2,12.7,0.7,34.7,0,1806,41111,9162,41642,8400,18.9,32.5,46.4,24.1,22.1,2.4,5.1,45.8,15.5,18.7,8.5,10.5,1,31.5,1359,75.4,18.5,6,0,10.4
2018,CA,California,Alameda,06001,06001405401,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9,,,8.6,9.5,3957,POINT (-122.2494501 37.79652024),6001405401,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.427,11.1627,4014,1948,2066,23.5,18.9,19,0.5,33.9,0,2536,46790,5101,22137,2562,21,18.3,25.2,37.3,20.7,3.6,13.2,40.7,17,29.8,3.9,6,2.5,32.4,2250,81.8,11.7,6.4,0,8.8
2018,CA,California,Alameda,06001,06001405402,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.3,,,8.9,9.8,3114,POINT (-122.246084 37.79331934),6001405402,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,27.146,11.5978,3250,1624,1626,19.6,10.3,24.8,0.2,34.4,6.7,1629,41521,8908,18830,2727,20.7,24.1,27.4,24,28.2,3.1,17.3,55.7,10.9,20.5,4,6.4,2.5,30.3,1656,75,13.3,11.7,0,16.3
2018,CA,California,Alameda,06001,06001405500,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.6,,,8.1,9.1,3643,POINT (-122.243238 37.79827883),6001405500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.473,11.06,4124,1971,2153,11.5,19.7,13.5,0,49.7,0.1,2892,56005,5060,27917,2703,21.6,43,38.2,26.8,19.1,3.7,12.2,53,15.3,17.3,3,6.6,4.8,33.4,2435,82.3,12.3,5.4,0,3.7
2018,CA,California,Alameda,06001,06001405600,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9,,,8.7,9.5,3137,POINT (-122.2372443 37.80080778),6001405600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.392,11.0837,3171,1797,1374,24.3,24.9,14.9,2.7,27.6,0,2208,58138,5293,34873,3199,10.8,13,51.6,16,18,4.3,10,56.6,13.9,22.9,0.9,2.6,3.1,33.9,1921,69,21.8,9.3,0,8
2018,CA,California,Alameda,06001,06001405700,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10,,,9.7,10.4,3243,POINT (-122.2296676 37.79823901),6001405700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.915,11.6588,3760,1927,1833,18,12.8,32.7,0.2,31.4,0,2490,50344,8233,23122,3502,24.1,37.8,26,32.9,20.5,7.1,13.5,59,13.2,19.4,5.7,1,1.7,30.2,1771,76.8,18,5.1,0,15.1
2018,CA,California,Alameda,06001,06001405800,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.7,,,9.2,10.2,3965,POINT (-122.2330769 37.79395483),6001405800,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,27.022,11.4673,4472,2159,2313,18.5,13.1,23.3,0.8,42.9,0.6,2743,38794,9148,19433,2491,35,50,21.8,32.6,21.5,6.8,17.3,58.1,20,16.8,1.9,0.7,2.6,27.7,2118,77.5,12.5,10.1,0,10.8
2018,CA,California,Alameda,06001,06001405901,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.2,,,9.7,10.7,3910,POINT (-122.2357773 37.78779276),6001405901,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,27.179,11.6325,4583,1988,2595,41.5,3.9,15.3,0.7,36,0,2244,36214,9086,14114,2896,34.9,48.2,8.1,35.2,25.2,12.2,19.4,39.9,22,27.5,2.8,5.7,2.1,30.4,1785,83.1,13.4,3.4,0,9.6
2018,CA,California,Alameda,06001,06001405902,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.4,,,8.8,9.9,3035,POINT (-122.2409375 37.79095286),6001405902,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,27.108,11.6023,3101,1559,1542,25.4,8.8,13.7,0.6,47.7,1.8,1684,36000,9401,16797,2138,30,31,17.6,34.8,18,12.1,17.5,57.7,15.2,13.4,4.7,4.3,4.8,28.4,1350,76.7,13.7,7.2,2.4,13.5
2018,CA,California,Alameda,06001,06001406000,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.4,,,9,9.9,3450,POINT (-122.2495121 37.7870262),6001406000,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.604,10.8179,3184,1449,1735,16.5,20.6,13.7,1,43.2,0.2,2256,35457,16304,28076,4844,38.4,35.2,45.2,19.4,20.8,6.4,8.1,40.5,14.4,24,4.8,8.8,7.5,30.3,1540,80.2,12.9,6.9,0,15.3
2018,CA,California,Alameda,06001,06001406100,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.1,,,9.4,10.7,4381,POINT (-122.2277681 37.77390851),6001406100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,27.002,12.0162,4629,2506,2123,58.7,14.1,10.4,0.2,13.4,0.8,2134,44298,20275,23843,3619,24.6,33.9,33.7,18,16.6,19.9,11.8,57.2,11.8,11.9,6.5,6.1,6.6,23.9,2203,78.8,9.2,12.1,0,8.7
2018,CA,California,Alameda,06001,06001406201,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.6,,,9,10.2,4649,POINT (-122.2307335 37.78505488),6001406201,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.701,11.8977,4399,2154,2245,44.1,7.1,16.1,0.3,22.7,3.1,1964,41563,9846,18136,2793,28.5,30.4,21.3,29.8,25.3,10.1,13.5,44.9,17,26.2,4.4,2.9,4.6,31.8,2057,86.3,8.8,5,0,12.5
