Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2018,CA,California,Santa Clara,06085,06085505301,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.8,,,7.5,8.1,4424,POINT (-121.984745 37.36786166),06085505301,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505302,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.9,,,7.4,8.3,4015,POINT (-121.9724125 37.36070873),06085505302,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505303,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.7,,,7.3,8.1,5940,POINT (-121.9640056 37.35833455),06085505303,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505304,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.7,,,7.4,8.0,3265,POINT (-121.9814464 37.35949615),06085505304,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505305,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.4,,,7.0,7.7,5514,POINT (-121.9906068 37.35911705),06085505305,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505401,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,6.6,,,6.3,6.9,5957,POINT (-121.987224 37.34899698),06085505401,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505402,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.9,,,7.5,8.3,3026,POINT (-121.9734891 37.34610421),06085505402,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505403,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.5,,,7.1,8.0,6595,POINT (-121.986263 37.34178335),06085505403,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505500,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.0,,,7.7,8.4,3911,POINT (-121.9620969 37.34712913),06085505500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505600,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.7,,,9.2,10.3,3880,POINT (-121.9459685 37.35097326),06085505600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505700,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.4,,,8.9,10.1,5751,POINT (-121.9444336 37.34305033),06085505700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505800,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.1,,,7.7,8.5,3741,POINT (-121.9439485 37.33158901),06085505800,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505900,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.0,,,7.7,8.3,7079,POINT (-121.9571425 37.3303096),06085505900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506000,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.1,,,7.7,8.5,4617,POINT (-121.9622725 37.33783936),06085506000,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506101,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.5,,,7.3,7.9,4615,POINT (-121.9845984 37.33415687),06085506101,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506102,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.0,,,6.8,7.3,3808,POINT (-121.971422 37.33145353),06085506102,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506103,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.4,,,6.9,7.8,4699,POINT (-121.9858427 37.32685894),06085506103,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506202,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.3,,,7.0,7.7,6959,POINT (-121.9904644 37.30114138),06085506202,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506203,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,6.9,,,6.6,7.2,6163,POINT (-121.9828991 37.3207554),06085506203,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506204,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.1,,,6.8,7.4,6064,POINT (-121.9864191 37.31370562),06085506204,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506301,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.1,,,7.7,8.5,5334,POINT (-121.9615286 37.31975908),06085506301,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506302,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.5,,,8.1,8.9,6388,POINT (-121.9569606 37.30896045),06085506302,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506304,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.6,,,7.4,7.9,4958,POINT (-121.97042 37.31228922),06085506304,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506305,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.8,,,8.4,9.2,7191,POINT (-121.9717217 37.30451836),06085506305,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506401,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.1,,,7.8,8.6,4380,POINT (-121.9453372 37.31637032),06085506401,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506402,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.6,,,8.3,9.0,5733,POINT (-121.945105 37.30159925),06085506402,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506501,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.7,,,8.3,9.2,7710,POINT (-121.9561009 37.29803826),06085506501,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506502,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.7,,,8.2,9.2,3907,POINT (-121.9479831 37.27851999),06085506502,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506503,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.6,,,8.2,9.1,6045,POINT (-121.9547531 37.28570098),06085506503,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506601,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.3,,,7.9,8.7,4482,POINT (-121.9823465 37.29282294),06085506601,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506603,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.2,,,7.9,8.6,4070,POINT (-121.9693614 37.28225988),06085506603,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506604,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.0,,,7.7,8.3,7324,POINT (-121.9867401 37.28087192),06085506604,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506605,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.9,,,7.6,8.2,3941,POINT (-121.9693662 37.29736107),06085506605,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506606,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.5,,,8.1,8.8,4453,POINT (-121.9687482 37.29023188),06085506606,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506701,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.2,,,7.8,8.6,3954,POINT (-121.9793792 37.27069111),06085506701,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085506702,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.9,,,8.4,9.3,5455,POINT (-121.962582 37.27435169),06085506702,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
